time;comments_per_second
43:00:00;21
43:01:00;30
43:02:00;28
43:03:00;25
43:04:00;20
43:05:00;33
43:06:00;27
43:07:00;31
43:08:00;33
43:09:00;31
43:10:00;29
43:11:00;33
43:12:00;32
43:13:00;32
43:14:00;23
43:15:00;28
43:16:00;27
43:17:00;42
43:18:00;27
43:19:00;35
43:20:00;23
43:21:00;28
43:22:00;24
43:23:00;31
43:24:00;37
43:25:00;26
43:26:00;33
43:27:00;33
43:28:00;33
43:29:00;29
43:30:00;29
43:31:00;31
43:32:00;31
43:33:00;31
43:34:00;33
43:35:00;29
43:36:00;32
43:37:00;31
43:38:00;26
43:39:00;26
43:40:00;32
43:41:00;32
43:42:00;34
43:43:00;21
43:44:00;32
43:45:00;20
43:46:00;30
43:47:00;20
43:48:00;36
43:49:00;27
43:50:00;39
43:51:00;32
43:52:00;35
43:53:00;35
43:54:00;42
43:55:00;37
43:56:00;37
43:57:00;42
43:58:00;49
43:59:00;62
44:00:00;74
44:01:00;84
44:02:00;101
44:03:00;122
44:04:00;126
44:05:00;148
44:06:00;170
44:07:00;176
44:08:00;195
44:09:00;196
44:10:00;200
44:11:00;197
44:12:00;192
44:13:00;179
44:14:00;172
44:15:00;149
44:16:00;138
44:17:00;120
44:18:00;99
44:19:00;91
44:20:00;80
44:21:00;64
44:22:00;57
44:23:00;39
44:24:00;44
44:25:00;42
44:26:00;42
44:27:00;31
44:28:00;33
44:29:00;36
44:30:00;28
44:31:00;33
44:32:00;19
44:33:00;33
44:34:00;24
44:35:00;23
44:36:00;29
44:37:00;28
44:38:00;30
44:39:00;20
44:40:00;26
44:41:00;37
44:42:00;30
44:43:00;26
44:44:00;33
44:45:00;29
44:46:00;33
44:47:00;29
44:48:00;38
44:49:00;31
44:50:00;31
44:51:00;23
44:52:00;26
44:53:00;34
44:54:00;27
44:55:00;34
44:56:00;23
44:57:00;30
44:58:00;33
44:59:00;30
45:00:00;28
45:01:00;34
45:02:00;37
45:03:00;32
45:04:00;36
45:05:00;34
45:06:00;28
45:07:00;31
45:08:00;36
45:09:00;25
45:10:00;25
45:11:00;28
45:12:00;21
45:13:00;29
45:14:00;33
45:15:00;30
45:16:00;24
45:17:00;21
45:18:00;31
45:19:00;33
45:20:00;35
45:21:00;29
45:22:00;23
45:23:00;31
45:24:00;27
45:25:00;24
45:26:00;36
45:27:00;25
45:28:00;36
45:29:00;29
45:30:00;37
45:31:00;40
45:32:00;42
45:33:00;40
45:34:00;49
45:35:00;44
45:36:00;48
45:37:00;59
45:38:00;74
45:39:00;83
45:40:00;95
45:41:00;109
45:42:00;119
45:43:00;143
45:44:00;156
45:45:00;177
45:46:00;207
45:47:00;228
45:48:00;253
45:49:00;286
45:50:00;317
45:51:00;342
45:52:00;367
45:53:00;398
45:54:00;428
45:55:00;441
45:56:00;465
45:57:00;476
45:58:00;489
45:59:00;500
46:00:00;500
46:01:00;499
46:02:00;490
46:03:00;479
46:04:00;466
46:05:00;451
46:06:00;417
46:07:00;394
46:08:00;373
46:09:00;356
46:10:00;318
46:11:00;294
46:12:00;253
46:13:00;231
46:14:00;214
46:15:00;189
46:16:00;161
46:17:00;142
46:18:00;124
46:19:00;111
46:20:00;96
46:21:00;83
46:22:00;76
46:23:00;76
46:24:00;53
46:25:00;49
46:26:00;44
46:27:00;42
46:28:00;37
46:29:00;28
46:30:00;37
46:31:00;31
46:32:00;26
46:33:00;27
46:34:00;27
46:35:00;26
46:36:00;29
46:37:00;35
46:38:00;32
46:39:00;29
46:40:00;36
46:41:00;28
46:42:00;28
46:43:00;27
46:44:00;29
46:45:00;32
46:46:00;24
46:47:00;27
46:48:00;39
46:49:00;26
46:50:00;31
46:51:00;29
46:52:00;30
46:53:00;29
46:54:00;27
46:55:00;31
46:56:00;31
46:57:00;34
46:58:00;40
46:59:00;29
47:00:00;37
47:01:00;38
47:02:00;33
47:03:00;29
47:04:00;36
47:05:00;31
47:06:00;41
47:07:00;43
47:08:00;56
47:09:00;62
47:10:00;64
47:11:00;87
47:12:00;104
47:13:00;108
47:14:00;136
47:15:00;141
47:16:00;164
47:17:00;180
47:18:00;192
47:19:00;197
47:20:00;200
47:21:00;201
47:22:00;191
47:23:00;182
47:24:00;162
47:25:00;150
47:26:00;132
47:27:00;122
47:28:00;99
47:29:00;88
47:30:00;71
47:31:00;56
47:32:00;55
47:33:00;48
47:34:00;40
47:35:00;27
47:36:00;31
47:37:00;38
47:38:00;35
47:39:00;34
47:40:00;33
47:41:00;31
47:42:00;31
47:43:00;35
47:44:00;26
47:45:00;35
47:46:00;32
47:47:00;26
47:48:00;31
47:49:00;32
47:50:00;30
47:51:00;27
47:52:00;25
47:53:00;26
47:54:00;28
47:55:00;26
47:56:00;34
47:57:00;31
47:58:00;23
47:59:00;32
48:00:00;31
