video_second;time_label;comments_per_second
154800;43:00:00;21
154860;43:01:00;30
154920;43:02:00;28
154980;43:03:00;25
155040;43:04:00;20
155100;43:05:00;33
155160;43:06:00;27
155220;43:07:00;31
155280;43:08:00;33
155340;43:09:00;31
155400;43:10:00;29
155460;43:11:00;33
155520;43:12:00;32
155580;43:13:00;32
155640;43:14:00;23
155700;43:15:00;28
155760;43:16:00;27
155820;43:17:00;42
155880;43:18:00;27
155940;43:19:00;35
156000;43:20:00;23
156060;43:21:00;28
156120;43:22:00;24
156180;43:23:00;31
156240;43:24:00;37
156300;43:25:00;26
156360;43:26:00;33
156420;43:27:00;33
156480;43:28:00;33
156540;43:29:00;29
156600;43:30:00;29
156660;43:31:00;31
156720;43:32:00;31
156780;43:33:00;31
156840;43:34:00;33
156900;43:35:00;29
156960;43:36:00;32
157020;43:37:00;31
157080;43:38:00;26
157140;43:39:00;26
157200;43:40:00;32
157260;43:41:00;32
157320;43:42:00;34
157380;43:43:00;21
157440;43:44:00;32
157500;43:45:00;20
157560;43:46:00;30
157620;43:47:00;20
157680;43:48:00;36
157740;43:49:00;27
157800;43:50:00;39
157860;43:51:00;32
157920;43:52:00;35
157980;43:53:00;35
158040;43:54:00;42
158100;43:55:00;37
158160;43:56:00;37
158220;43:57:00;42
158280;43:58:00;49
158340;43:59:00;62
158400;44:00:00;74
158460;44:01:00;84
158520;44:02:00;101
158580;44:03:00;122
158640;44:04:00;126
158700;44:05:00;148
158760;44:06:00;170
158820;44:07:00;176
158880;44:08:00;195
158940;44:09:00;196
159000;44:10:00;200
159060;44:11:00;197
159120;44:12:00;192
159180;44:13:00;179
159240;44:14:00;172
159300;44:15:00;149
159360;44:16:00;138
159420;44:17:00;120
159480;44:18:00;99
159540;44:19:00;91
159600;44:20:00;80
159660;44:21:00;64
159720;44:22:00;57
159780;44:23:00;39
159840;44:24:00;44
159900;44:25:00;42
159960;44:26:00;42
160020;44:27:00;31
160080;44:28:00;33
160140;44:29:00;36
160200;44:30:00;28
160260;44:31:00;33
160320;44:32:00;19
160380;44:33:00;33
160440;44:34:00;24
160500;44:35:00;23
160560;44:36:00;29
160620;44:37:00;28
160680;44:38:00;30
160740;44:39:00;20
160800;44:40:00;26
160860;44:41:00;37
160920;44:42:00;30
160980;44:43:00;26
161040;44:44:00;33
161100;44:45:00;29
161160;44:46:00;33
161220;44:47:00;29
161280;44:48:00;38
161340;44:49:00;31
161400;44:50:00;31
161460;44:51:00;23
161520;44:52:00;26
161580;44:53:00;34
161640;44:54:00;27
161700;44:55:00;34
161760;44:56:00;23
161820;44:57:00;30
161880;44:58:00;33
161940;44:59:00;30
162000;45:00:00;28
162060;45:01:00;34
162120;45:02:00;37
162180;45:03:00;32
162240;45:04:00;36
162300;45:05:00;34
162360;45:06:00;28
162420;45:07:00;31
162480;45:08:00;36
162540;45:09:00;25
162600;45:10:00;25
162660;45:11:00;28
162720;45:12:00;21
162780;45:13:00;29
162840;45:14:00;33
162900;45:15:00;30
162960;45:16:00;24
163020;45:17:00;21
163080;45:18:00;31
163140;45:19:00;33
163200;45:20:00;35
163260;45:21:00;29
163320;45:22:00;23
163380;45:23:00;31
163440;45:24:00;27
163500;45:25:00;24
163560;45:26:00;36
163620;45:27:00;25
163680;45:28:00;36
163740;45:29:00;29
163800;45:30:00;37
163860;45:31:00;40
163920;45:32:00;42
163980;45:33:00;40
164040;45:34:00;49
164100;45:35:00;44
164160;45:36:00;48
164220;45:37:00;59
164280;45:38:00;74
164340;45:39:00;83
164400;45:40:00;95
164460;45:41:00;109
164520;45:42:00;119
164580;45:43:00;143
164640;45:44:00;156
164700;45:45:00;177
164760;45:46:00;207
164820;45:47:00;228
164880;45:48:00;253
164940;45:49:00;286
165000;45:50:00;317
165060;45:51:00;342
165120;45:52:00;367
165180;45:53:00;398
165240;45:54:00;428
165300;45:55:00;441
165360;45:56:00;465
165420;45:57:00;476
165480;45:58:00;489
165540;45:59:00;500
165600;46:00:00;500
165660;46:01:00;499
165720;46:02:00;490
165780;46:03:00;479
165840;46:04:00;466
165900;46:05:00;451
165960;46:06:00;417
166020;46:07:00;394
166080;46:08:00;373
166140;46:09:00;356
166200;46:10:00;318
166260;46:11:00;294
166320;46:12:00;253
166380;46:13:00;231
166440;46:14:00;214
166500;46:15:00;189
166560;46:16:00;161
166620;46:17:00;142
166680;46:18:00;124
166740;46:19:00;111
166800;46:20:00;96
166860;46:21:00;83
166920;46:22:00;76
166980;46:23:00;76
167040;46:24:00;53
167100;46:25:00;49
167160;46:26:00;44
167220;46:27:00;42
167280;46:28:00;37
167340;46:29:00;28
167400;46:30:00;37
167460;46:31:00;31
167520;46:32:00;26
167580;46:33:00;27
167640;46:34:00;27
167700;46:35:00;26
167760;46:36:00;29
167820;46:37:00;35
167880;46:38:00;32
167940;46:39:00;29
168000;46:40:00;36
168060;46:41:00;28
168120;46:42:00;28
168180;46:43:00;27
168240;46:44:00;29
168300;46:45:00;32
168360;46:46:00;24
168420;46:47:00;27
168480;46:48:00;39
168540;46:49:00;26
168600;46:50:00;31
168660;46:51:00;29
168720;46:52:00;30
168780;46:53:00;29
168840;46:54:00;27
168900;46:55:00;31
168960;46:56:00;31
169020;46:57:00;34
169080;46:58:00;40
169140;46:59:00;29
169200;47:00:00;37
169260;47:01:00;38
169320;47:02:00;33
169380;47:03:00;29
169440;47:04:00;36
169500;47:05:00;31
169560;47:06:00;41
169620;47:07:00;43
169680;47:08:00;56
169740;47:09:00;62
169800;47:10:00;64
169860;47:11:00;87
169920;47:12:00;104
169980;47:13:00;108
170040;47:14:00;136
