video_second;time_label;comments_per_second;views;new subscribers every 10 sec;engagement_rate_scaled
0;0:00;21;500033;54.0;2.62
1;0:01;30;500682;;3.75
2;0:02;28;501149;;3.5
3;0:03;25;501599;;3.12
4;0:04;20;502016;;2.5
5;0:05;33;502732;;4.12
6;0:06;27;503133;;3.38
7;0:07;31;503699;;3.88
8;0:08;33;504232;;4.12
9;0:09;31;504699;;3.88
10;0:10;29;505166;53.0;3.62
11;0:11;33;505732;;4.12
12;0:12;32;506216;;4.0
13;0:13;32;506716;;4.0
14;0:14;23;507066;;2.88
15;0:15;28;507649;;3.5
16;0:16;27;508133;;3.38
17;0:17;42;508882;;5.25
18;0:18;27;509133;;3.38
19;0:19;35;509766;53.0;4.38
20;0:20;23;510066;;2.88
21;0:21;28;510649;;3.5
22;0:22;24;511083;;3.0
23;0:23;31;511699;;3.88
24;0:24;37;512299;;4.62
25;0:25;26;512616;;3.25
26;0:26;33;513232;;4.12
27;0:27;33;513732;;4.12
28;0:28;33;514232;;4.12
29;0:29;29;514666;53.0;3.62
30;0:30;29;515166;;3.62
31;0:31;31;515699;;3.88
32;0:32;31;516199;;3.88
33;0:33;31;516699;;3.88
34;0:34;33;517232;;4.12
35;0:35;29;517666;;3.62
36;0:36;32;518216;;4.0
37;0:37;31;518699;;3.88
38;0:38;26;519116;;3.25
39;0:39;26;519616;55.0;3.25
40;0:40;32;520216;;4.0
41;0:41;32;520716;;4.0
42;0:42;34;521249;;4.25
43;0:43;21;521533;;2.62
44;0:44;32;522216;;4.0
45;0:45;20;522516;;2.5
46;0:46;30;523182;;3.75
47;0:47;20;523516;;2.5
48;0:48;36;524282;;4.5
49;0:49;27;524633;62.0;3.38
50;0:50;39;525332;;4.88
51;0:51;32;525716;;4.0
52;0:52;35;526266;;4.38
53;0:53;35;526766;;4.38
54;0:54;42;527382;;5.25
55;0:55;37;527799;;4.62
56;0:56;37;528299;;4.62
57;0:57;42;528882;;5.25
58;0:58;49;529498;;6.12
59;0:59;62;530215;55.0;7.75
60;1:00;74;530914;;9.25
61;1:01;84;531581;;10.5
62;1:02;101;532363;;12.62
63;1:03;122;533213;;15.25
64;1:04;126;533779;;15.75
65;1:05;148;534645;;18.5
66;1:06;170;535511;;21.25
67;1:07;176;536111;;22.0
68;1:08;195;536927;;24.38
69;1:09;196;537443;45.0;24.5
70;1:10;200;538010;;25.0
71;1:11;197;538460;;24.62
72;1:12;192;538877;;24.0
73;1:13;179;539161;;22.38
74;1:14;172;539544;;21.5
75;1:15;149;539662;;18.62
76;1:16;138;539979;;17.25
77;1:17;120;540179;;15.0
78;1:18;99;540330;;12.38
79;1:19;91;540697;51.0;11.38
80;1:20;80;541014;;10.0
81;1:21;64;541248;;8.0
82;1:22;57;541632;;7.12
83;1:23;39;541832;;4.88
84;1:24;44;542415;;5.5
85;1:25;42;542882;;5.25
86;1:26;42;543382;;5.25
87;1:27;31;543699;;3.88
88;1:28;33;544232;;4.12
89;1:29;36;544782;53.0;4.5
90;1:30;28;545149;;3.5
91;1:31;33;545732;;4.12
92;1:32;19;546000;;2.38
93;1:33;33;546732;;4.12
94;1:34;24;547083;;3.0
95;1:35;23;547566;;2.88
96;1:36;29;548166;;3.62
97;1:37;28;548649;;3.5
98;1:38;30;549182;;3.75
99;1:39;20;549516;54.0;2.5
100;1:40;26;550116;;3.25
101;1:41;37;550799;;4.62
102;1:42;30;551182;;3.75
103;1:43;26;551616;;3.25
