time;comments_per_second
45:00:00;26
45:01:00;29
45:02:00;35
45:03:00;31
45:04:00;34
45:05:00;32
45:06:00;27
45:07:00;32
45:08:00;29
45:09:00;29
45:10:00;30
45:11:00;24
45:12:00;35
45:13:00;27
45:14:00;34
45:15:00;31
45:16:00;36
45:17:00;27
45:18:00;29
45:19:00;31
45:20:00;21
45:21:00;33
45:22:00;36
45:23:00;35
45:24:00;33
45:25:00;29
45:26:00;35
45:27:00;34
45:28:00;32
45:29:00;30
45:30:00;29
45:31:00;26
45:32:00;36
45:33:00;23
45:34:00;31
45:35:00;34
45:36:00;39
45:37:00;45
45:38:00;45
45:39:00;44
45:40:00;54
45:41:00;53
45:42:00;73
45:43:00;79
45:44:00;91
45:45:00;108
45:46:00;131
45:47:00;154
45:48:00;192
45:49:00;210
45:50:00;245
45:51:00;280
45:52:00;315
45:53:00;351
45:54:00;383
45:55:00;414
45:56:00;441
45:57:00;462
45:58:00;486
45:59:00;500
46:00:00;500
46:01:00;494
46:02:00;484
46:03:00;466
46:04:00;439
46:05:00;422
46:06:00;387
46:07:00;348
46:08:00;316
46:09:00;278
46:10:00;244
46:11:00;214
46:12:00;186
46:13:00;162
46:14:00;138
46:15:00;110
46:16:00;92
46:17:00;80
46:18:00;68
46:19:00;55
46:20:00;48
46:21:00;48
46:22:00;47
46:23:00;37
46:24:00;33
46:25:00;32
46:26:00;28
46:27:00;30
46:28:00;33
46:29:00;30
46:30:00;35
46:31:00;31
46:32:00;32
46:33:00;29
46:34:00;35
46:35:00;25
46:36:00;29
46:37:00;25
46:38:00;33
46:39:00;33
46:40:00;28
46:41:00;37
46:42:00;29
46:43:00;24
46:44:00;29
46:45:00;31
46:46:00;29
46:47:00;39
46:48:00;33
46:49:00;37
46:50:00;36
46:51:00;23
46:52:00;28
46:53:00;19
46:54:00;27
46:55:00;34
46:56:00;27
46:57:00;27
46:58:00;31
46:59:00;33
47:00:00;29
47:01:00;29
47:02:00;33
47:03:00;31
47:04:00;29
47:05:00;31
47:06:00;30
47:07:00;31
47:08:00;38
47:09:00;29
47:10:00;28
47:11:00;36
47:12:00;27
47:13:00;37
47:14:00;29
47:15:00;30
47:16:00;33
47:17:00;35
47:18:00;34
47:19:00;29
47:20:00;29
47:21:00;31
47:22:00;31
47:23:00;27
47:24:00;32
47:25:00;34
47:26:00;31
47:27:00;36
47:28:00;32
47:29:00;29
47:30:00;30
47:31:00;28
47:32:00;26
47:33:00;32
47:34:00;27
47:35:00;29
47:36:00;30
47:37:00;32
47:38:00;32
47:39:00;30
47:40:00;22
47:41:00;29
47:42:00;27
47:43:00;30
47:44:00;34
47:45:00;33
47:46:00;31
47:47:00;32
47:48:00;24
47:49:00;31
47:50:00;32
47:51:00;27
47:52:00;32
47:53:00;28
47:54:00;34
47:55:00;34
47:56:00;28
47:57:00;36
47:58:00;29
47:59:00;38
48:00:00;28
