video_second;time_label;comments_per_second
162000;45:00:00;26
162060;45:01:00;29
162120;45:02:00;35
162180;45:03:00;31
162240;45:04:00;34
162300;45:05:00;32
162360;45:06:00;27
162420;45:07:00;32
162480;45:08:00;29
162540;45:09:00;29
162600;45:10:00;30
162660;45:11:00;24
162720;45:12:00;35
162780;45:13:00;27
162840;45:14:00;34
162900;45:15:00;31
162960;45:16:00;36
163020;45:17:00;27
163080;45:18:00;29
163140;45:19:00;31
163200;45:20:00;21
163260;45:21:00;33
163320;45:22:00;36
163380;45:23:00;35
163440;45:24:00;33
163500;45:25:00;29
163560;45:26:00;35
163620;45:27:00;34
163680;45:28:00;32
163740;45:29:00;30
163800;45:30:00;29
163860;45:31:00;26
163920;45:32:00;36
163980;45:33:00;23
164040;45:34:00;31
164100;45:35:00;34
164160;45:36:00;39
164220;45:37:00;45
164280;45:38:00;45
164340;45:39:00;44
164400;45:40:00;54
164460;45:41:00;53
164520;45:42:00;73
164580;45:43:00;79
164640;45:44:00;91
164700;45:45:00;108
164760;45:46:00;131
164820;45:47:00;154
164880;45:48:00;192
164940;45:49:00;210
165000;45:50:00;245
165060;45:51:00;280
165120;45:52:00;315
165180;45:53:00;351
165240;45:54:00;383
165300;45:55:00;414
165360;45:56:00;441
165420;45:57:00;462
165480;45:58:00;486
165540;45:59:00;500
165600;46:00:00;500
165660;46:01:00;494
165720;46:02:00;484
165780;46:03:00;466
165840;46:04:00;439
165900;46:05:00;422
165960;46:06:00;387
166020;46:07:00;348
166080;46:08:00;316
166140;46:09:00;278
166200;46:10:00;244
166260;46:11:00;214
166320;46:12:00;186
166380;46:13:00;162
166440;46:14:00;138
166500;46:15:00;110
166560;46:16:00;92
166620;46:17:00;80
166680;46:18:00;68
166740;46:19:00;55
166800;46:20:00;48
166860;46:21:00;48
166920;46:22:00;47
166980;46:23:00;37
167040;46:24:00;33
167100;46:25:00;32
167160;46:26:00;28
167220;46:27:00;30
167280;46:28:00;33
167340;46:29:00;30
167400;46:30:00;35
167460;46:31:00;31
167520;46:32:00;32
167580;46:33:00;29
167640;46:34:00;35
167700;46:35:00;25
167760;46:36:00;29
167820;46:37:00;25
167880;46:38:00;33
167940;46:39:00;33
168000;46:40:00;28
168060;46:41:00;37
168120;46:42:00;29
168180;46:43:00;24
168240;46:44:00;29
168300;46:45:00;31
168360;46:46:00;29
168420;46:47:00;39
168480;46:48:00;33
168540;46:49:00;37
168600;46:50:00;36
168660;46:51:00;23
168720;46:52:00;28
168780;46:53:00;19
168840;46:54:00;27
168900;46:55:00;34
168960;46:56:00;27
169020;46:57:00;27
169080;46:58:00;31
169140;46:59:00;33
169200;47:00:00;29
169260;47:01:00;29
169320;47:02:00;33
169380;47:03:00;31
169440;47:04:00;29
169500;47:05:00;31
169560;47:06:00;30
169620;47:07:00;31
169680;47:08:00;38
169740;47:09:00;29
169800;47:10:00;28
169860;47:11:00;36
169920;47:12:00;27
169980;47:13:00;37
170040;47:14:00;29
170100;47:15:00;30
170160;47:16:00;33
170220;47:17:00;35
170280;47:18:00;34
170340;47:19:00;29
170400;47:20:00;29
170460;47:21:00;31
170520;47:22:00;31
170580;47:23:00;27
170640;47:24:00;32
170700;47:25:00;34
170760;47:26:00;31
170820;47:27:00;36
170880;47:28:00;32
170940;47:29:00;29
171000;47:30:00;30
171060;47:31:00;28
171120;47:32:00;26
171180;47:33:00;32
171240;47:34:00;27
171300;47:35:00;29
171360;47:36:00;30
171420;47:37:00;32
171480;47:38:00;32
171540;47:39:00;30
171600;47:40:00;22
171660;47:41:00;29
171720;47:42:00;27
171780;47:43:00;30
171840;47:44:00;34
171900;47:45:00;33
171960;47:46:00;31
172020;47:47:00;32
172080;47:48:00;24
172140;47:49:00;31
172200;47:50:00;32
172260;47:51:00;27
172320;47:52:00;32
172380;47:53:00;28
172440;47:54:00;34
172500;47:55:00;34
172560;47:56:00;28
172620;47:57:00;36
172680;47:58:00;29
172740;47:59:00;38
172800;48:00:00;28
